ID,website,Category,instruction
1002,https://quotes.toscrape.com/,READ,"Find the first quote on the page that is written by the author ""Albert Einstein"". Record the text of the quote and list all its tags."
1005,https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population,READ,Find the population of the United States in the population table and record the population number and the percentage of the world population it represents.
1003,http://books.toscrape.com/,READ,"Go to the ""Travel"" category using the sidebar menu, click on the first book titled ""It's Only One Day"", and find and record its price and stock availability status."
1001,https://en.wikipedia.org/wiki/Main_Page,READ,"Search for the article ""Python (programming language)"" on Wikipedia. Locate the ""History"" section and find who created the Python programming language."
1004,https://news.ycombinator.com/,READ,Find the article that is currently ranked number 1 on Hacker News. Record the title of the article and the number of points it has.
1007,https://todomvc.com/examples/react/dist/,CREATE,"Create three new todo items: ""Submit project report"", ""Buy milk"", and ""Call doctor"". Confirm all three items appear in the active todo list."
1010,https://the-internet.herokuapp.com/login,CREATE,"Log in to the secure area by entering the username ""tomsmith"" and the password ""SuperSecretPassword!"". Click the login button and verify that the success message ""You logged into a secure area!"" is displayed."
1008,https://www.demoblaze.com/,CREATE,"Click on ""Contact"" in the top navigation bar. Fill out the contact form: enter ""test_user@example.com"" for Contact Email, ""John Doe"" for Contact Name, and ""This is a test message for evaluation."" for the Message. Click the ""Send message"" button and confirm the alert modal is dismissed."
1006,https://www.saucedemo.com/,CREATE,"Log in to Swag Labs using the username ""standard_user"" and password ""secret_sauce"". Once logged in, add the ""Sauce Labs Backpack"" and the ""Sauce Labs Bolt T-Shirt"" to your shopping cart. Verify that the cart badge shows 2 items."
1009,https://quotes.toscrape.com/,CREATE,"Click on the ""login"" link at the top right, log in with username ""test_user"" and password ""test_pass"" (any username/password is accepted). Once logged in, verify that the logout link is visible, confirming a successful session was created."
1017,https://www.saucedemo.com/,DELETE,"Log in using username ""standard_user"" and password ""secret_sauce"". Add the ""Sauce Labs Backpack"" to the cart. Go to the shopping cart by clicking the cart icon, then click the ""Remove"" button to delete the item from the cart. Verify that the cart is now empty."
1020,https://the-internet.herokuapp.com/dynamic_controls,DELETE,"Find the checkbox under the Dynamic Controls section. Click the ""Remove"" button next to it. Wait for the loading bar to finish and the message ""It's gone!"" to appear, confirming the checkbox has been deleted."
1018,https://www.demoblaze.com/,DELETE,"Click on the first product ""Samsung galaxy s6"", click ""Add to cart"", and accept the alert. Go to the ""Cart"" page from the top menu, locate the product, click the ""Delete"" link next to it, and verify it is removed from the cart table."
1016,https://todomvc.com/examples/react/dist/,DELETE,"Create a todo item named ""Delete Me"". Once it is created, hover over or focus the item, click the red destroy button (X icon) on the right side of the todo item to delete it, and verify that the list becomes completely empty."
1019,https://the-internet.herokuapp.com/add_remove_elements/,DELETE,"Click the ""Add Element"" button to dynamically create a new button labeled ""Delete"". Then click the newly created ""Delete"" button to remove it, and confirm the button is no longer present on the page."
1012,https://www.saucedemo.com/,UPDATE,"Log in using username ""standard_user"" and password ""secret_sauce"". Change the product sorting dropdown at the top right from ""Name (A to Z)"" to ""Price (low to high)"". Record the name and price of the first product displayed to verify it is the cheapest."
1015,https://the-internet.herokuapp.com/dropdown,UPDATE,"Locate the dropdown menu. Click it and change the selection from the default to ""Option 2"". Verify that ""Option 2"" is successfully selected."
1013,https://the-internet.herokuapp.com/checkboxes,UPDATE,Observe the checkboxes on the page. Select checkbox 1 (which is currently unchecked) and unselect checkbox 2 (which is currently checked) so that only checkbox 1 is selected. Verify the final checked state.
1011,https://todomvc.com/examples/react/dist/,UPDATE,"Create a todo item named ""Initial Task"". Once created, double-click the todo item to edit its text, change the text to ""Updated Task Name"", press Enter to save, and verify the name has updated."
1014,https://the-internet.herokuapp.com/inputs,UPDATE,"Locate the number input field on the page. Enter the value ""42"" into the field, and verify that the input now contains ""42""."
1022,https://the-internet.herokuapp.com/upload,FILE_MANIPULATION,"Locate the file upload input on the page. Upload the file named ""sample_data.csv"" (or any available file from the current directory) and click the ""Upload"" button. Confirm that the success page displays the file name after upload."
1025,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf,FILE_MANIPULATION,"Go to the dummy PDF document URL. If the browser displays it, extract the main heading or confirm it is a ""Dummy PDF file"" (or verify the direct URL page load)."
1023,https://raw.githubusercontent.com/run-llama/llama_index/main/README.md,FILE_MANIPULATION,Read the raw markdown content of the LlamaIndex README page. Extract the main title header (the line starting with #) and summarize the first sentence under it.
1021,https://the-internet.herokuapp.com/download,FILE_MANIPULATION,"Locate the file named ""some-file.txt"" in the list of downloadable files. Click it to trigger the download. Verify that the file is downloaded (or navigate to its direct URL to read the text content inside if direct file download verification is not supported)."
1024,https://jsonplaceholder.typicode.com/posts/1,FILE_MANIPULATION,"Go to the JSON URL, read the raw JSON structure, and extract the values of the fields ""id"", ""title"", and ""body"". Record them clearly in the final answer."
