task_id,run_timestamp,category,url,url_domain,instruction,instruction_length,status,latency_seconds,steps_taken,steps_budget,steps_utilization_pct,retry_count,llm_model,llm_provider,llm_calls,total_thought_chars,final_answer,final_answer_length,avg_step_latency_seconds,max_step_latency_seconds,error_code,error_label,error_hint,error_message,has_captcha_signal,has_auth_signal,has_timeout_signal,has_bot_block_signal,failure_root,task_validity_code,task_validity_reason,task_validity_confidence,url_http_status,url_probe_note
task_0001,2026-06-26T04:29:55.348361+00:00,READ,https://www.medicinenet.com,www.medicinenet.com,"Search the MedicineNet website for articles on “Type 2 Diabetes” and list the titles of the first five results.
Only use http://medicinenet.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",252,FAILED,0.0,0,20,0.0,2,google/gemma-4-E4B-it,local/gemma-4-E4B-it,0,0,,0,0.0,0.0,System_SilentCrash,Browser/LLM crash or timeout,Add health-check + exponential-backoff retry,URL unreachable: <urlopen error [Errno 104] Connection reset by peer>,False,False,False,False,TASK_INVALID,URL_Dead,<urlopen error [Errno 104] Connection reset by peer>,1.0,0,<urlopen error [Errno 104] Connection reset by peer>
task_0002,2026-06-26T04:30:46.224335+00:00,READ,https://www.amazon.com,www.amazon.com,"Find the product page for ""Amazon Basics AA Batteries"" and record the pack size and pricing information.
Only use http://amazon.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",240,FAILED,0.0,0,20,0.0,2,google/gemma-4-E4B-it,local/gemma-4-E4B-it,0,0,,0,0.0,0.0,System_SilentCrash,Browser/LLM crash or timeout,Add health-check + exponential-backoff retry,URL unreachable: <urlopen error [Errno 104] Connection reset by peer>,False,False,False,False,TASK_INVALID,URL_Dead,<urlopen error [Errno 104] Connection reset by peer>,1.0,0,<urlopen error [Errno 104] Connection reset by peer>
task_0003,2026-06-26T04:31:04.313901+00:00,READ,https://www.healthline.com,www.healthline.com,"Use the search tool to look for “diabetes management” and output the titles of the first five articles displayed.
Only use http://healthline.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",253,FAILED,1930.58,19,20,95.0,0,google/gemma-4-E4B-it,local/gemma-4-E4B-it,18,40105,"I have completed the task by navigating to Healthline and extracting article titles related to ""diabetes management"". Based on the comprehensive data gathered in my final extraction step, here are the titles of five highly relevant articles:

1. Type 2 Diabetes
2. Type 1 diabetes
3. Type 1.5 (LADA)
4. Gestational diabetes
5. Take Control of Your Health: A Weekly Diabetes Management Routine",392,101.6,101.6,Data_StaleLayout,DOM element not found,Enable vision fallback; refresh benchmark dataset,None,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoFileHandling,browser-use has no file download/upload pipeline,0.95,200,
task_0004,2026-06-26T05:03:39.486949+00:00,READ,https://www.menshealth.com,www.menshealth.com,"Browse the homepage and list the titles of the first three articles in the Fitness section.
Only use http://menshealth.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",231,SUCCESS,191.94,3,20,15.0,2,google/gemma-4-E4B-it,local/gemma-4-E4B-it,3,4007,"I have browsed the Fitness section of menshealth.com and listed the titles of the first three articles found:

1. 7-Minute Bodyweight Beginner Workout for the Busy Guys
2. The Best Prime Day Deals On Smart Scales
3. Save Nearly 50% on Fitness Equipment and Gear",261,64.0,64.0,,,,,False,False,False,False,,VALID,,1.0,200,
task_0005,2026-06-26T05:07:06.627532+00:00,READ,https://www.foxnews.com,www.foxnews.com,"Use the website’s search function to find an article related to the ""US Economy"" and extract the main points from the introduction.
Only use http://foxnews.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",268,FAILED,515.26,12,20,60.0,0,google/gemma-4-E4B-it,local/gemma-4-E4B-it,7,12113,"The task required navigating to https://www.foxnews.com, searching for an article related to ""US Economy"", and extracting its introduction's main points. While navigation to foxnews.com was successful, no search was performed, and no article points were extracted because termination was mandated by the user after multiple previous failures. Therefore, the task is incomplete.",377,42.9,42.9,Data_StaleLayout,DOM element not found,Enable vision fallback; refresh benchmark dataset,None,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoFileHandling,browser-use has no file download/upload pipeline,0.95,200,
task_0006,2026-06-26T05:16:10.611558+00:00,READ,https://www.medicalnewstoday.com,www.medicalnewstoday.com,"Search for recent articles on “diabetes management” and list the titles of the first five results.
Only use http://medicalnewstoday.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",244,FAILED,1522.83,20,20,100.0,2,google/gemma-4-E4B-it,local/gemma-4-E4B-it,18,37334,"I was unable to complete the request to list the titles of the first five recent articles on ""diabetes management"" from medicalnewstoday.com within the allowed steps. Direct searching for ""diabetes management"" yielded zero matches on the homepage. While I identified 219 article links on the page, I could not iterate through them or find five specific titles matching ""diabetes management"" before reaching the maximum step limit. The site's search functionality proved difficult to utilize for this specific query.

Visible article titles found in recent listings (not necessarily related to diabetes management) include:
- What can I do to make my cough go away naturally?
- What is the average baby weight by month?
- What days can you get pregnant and when are you most fertile?
- What does a right-sided headache mean?
- 13 home remedies for constipation",859,76.1,76.1,Security_BotBlocked,WAF / IP Block,Add stealth plugin + residential proxy rotation,None,False,False,False,True,FRAMEWORK_LIMIT,Framework_NoFileHandling,browser-use has no file download/upload pipeline,0.95,200,
task_0007,2026-06-26T05:41:54.399712+00:00,READ,https://my.clevelandclinic.org,my.clevelandclinic.org,"Explore the mental health and wellness section. Summarize the support services available for managing stress and anxiety.
Only use http://clevelandclinic.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",266,SUCCESS,1527.48,20,20,100.0,1,google/gemma-4-E4B-it,local/gemma-4-E4B-it,20,39110,"I attempted to fulfill your request by navigating to https://my.clevelandclinic.org and exploring resources related to mental health and wellness for stress and anxiety. I successfully navigated to the Health Library section and performed a search for 'anxiety'. However, due to persistent loading indicators on the search results pages across multiple attempts (including scrolling), I was unable to extract a concrete summary of available support services as requested. The task could not be fully completed within the allowed steps.",535,76.4,76.4,,,,,False,False,False,False,,VALID,,1.0,200,
task_0008,2026-06-26T06:07:37.401774+00:00,READ,https://www.webmd.com,www.webmd.com,"Find the latest article on diabetes
Only use http://webmd.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",170,FAILED,1609.97,17,20,85.0,0,google/gemma-4-E4B-it,local/gemma-4-E4B-it,17,34408,"I have navigated to WebMD and searched for the latest diabetes article. Due to technical limitations (previous extraction errors) and strict step budget constraints (3 steps remaining), I could not perform a comprehensive scan of all content below the fold. Based on visible content and scrolling efforts, the most recently dated article explicitly visible on the page is: 

Title: The Surge in Type 1 Diabetes...
Date: August 19, 2025

I also performed a search for '2026' which returned one potential match indicating newer content might exist elsewhere on the page structure, but this could not be verified or accessed within the remaining steps.",649,94.7,94.7,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,None,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoFileHandling,browser-use has no file download/upload pipeline,0.95,200,
task_0009,2026-06-26T06:34:42.666349+00:00,READ,https://www.apple.com,www.apple.com,"Find the trade-in value of my iPhone 14 Pro. Its condition is good. 
Only use http://apple.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",203,SUCCESS,838.02,12,20,60.0,0,google/gemma-4-E4B-it,local/gemma-4-E4B-it,12,20029,"The estimated trade-in value for an iPhone 14 Pro in good condition, found on Apple's Vietnamese website (apple.com/vn/shop/trade-in), is 'Lên tới 9.500.000đ'. Please note that this is an estimate, and the actual value may vary based on device condition and other factors as stated on the website.",297,69.8,69.8,,,,,False,False,False,False,,VALID,,1.0,200,
task_0010,2026-06-26T06:48:55.814175+00:00,READ,https://www.eater.com,www.eater.com,"Navigate to the Eater.com homepage and list the titles of the top 5 featured articles displayed.
Only use http://eater.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",231,FAILED,1602.22,19,20,95.0,0,google/gemma-4-E4B-it,local/gemma-4-E4B-it,19,41429,"I navigated to https://www.eater.com/ and listed what appear to be the top 5 featured/most popular articles based on visible content under the 'Most Popular' heading:
1. Where to Eat in LA During the Summer of Soccer (from element [283])
2. 10 Fort Worth Restaurants Delivering Big, Bold Bites (from element [284])
3. The Full List of James Beard Awards 2026 Restaurant and Chef Winners (from element [285])
4. 13 Cincinnati Spots to Find Big, Bold Flavors (from element [286])
5. Where to Find Big, Bold Flavors in the Portland Area (from element [287])
Please note that Eater does not explicitly label a section as 'Top Featured', so this list is based on prominence under 'Most Popular'.",690,84.3,84.3,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,None,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoFileHandling,browser-use has no file download/upload pipeline,0.95,200,
